"","created_at","avg_weighted_sentiment","episodised_total_sentiment","total_tweets","negative","neutral","positive"
"1",2022-06-06,33.9992902168219,42627,59173,21835,2121,35217
"2",2022-06-07,38.105746928958,15791,34923,14308,1410,19205
"3",2022-06-08,-23.8394443680374,11571,36355,15244,1607,19504
"4",2022-06-09,-0.967223377829835,21979,49517,19941,1987,27589
"5",2022-06-10,34.6672016196731,19032,40502,16285,1785,22432
"6",2022-06-11,57.2042405884898,4782,4622,1529,197,2896
"7",2022-06-12,82.8257068452381,18495,32256,12591,1459,18206
"8",2022-06-13,21.1220054861323,25683,32810,11162,1345,20303
"9",2022-06-14,27.4479930604842,541,25362,12037,1082,12243
"10",2022-06-15,111.829752736117,16043,32071,13370,1298,17403
"11",2022-06-16,-9.95709180254635,5204,44770,19963,1975,22832
